,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
27,Moon Plains,Nature Park,Central Province – Nuwara Eliya District,"6.9485° N, 80.7907° E",Moon Plains is a scenic grassland and viewpoint near Nuwara Eliya offering panoramic views of mountains including Pidurutalagala and surrounding peaks. It is known for its peaceful landscapes and wildlife.,"Moon Plains was originally used as an agricultural and environmental conservation area. It was developed as a tourism attraction in the 2010s, with observation points created to showcase the unique landscapes of the central highlands.",Developed by Nuwara Eliya Municipal Council,Opened as attraction in 2014,Scenic agricultural and mountain viewpoint representing Sri Lanka’s central highlands.,"Nine Peaks viewpoint, jeep safari, grasslands, wildlife viewing.",7:00 AM – 5:00 PM,1–2 hours,Approx. USD 5,January–April; early morning,"Gregory Lake, Hakgala Gardens, Horton Plains, Victoria Park, Pedro Tea Estate","Grand Hotel Nuwara Eliya, Araliya Green Hills, Jetwing St Andrew’s, Blackpool Resort, Heritance Tea Factory","Grand Indian Restaurant, Salmiya Restaurant, Coffee Bar, Lake View Pub, De Silva Food Centre", 
28,"Victoria Park, Nuwara Eliya",Park,Central Province – Nuwara Eliya District,"6.9686° N, 80.7836° E","Victoria Park is a beautifully maintained urban park famous for colourful flowers, walking paths, and bird watching. It is one of the most popular recreational areas in Nuwara Eliya.",The park was established during the British colonial period and was named in 1897 to commemorate Queen Victoria’s Diamond Jubilee. It was developed from the grounds of the Hakgala Botanical Garden’s research area and became a public park.,British colonial administration,Established in 1897,Colonial heritage garden preserving highland flora and birdlife.,"Flower gardens, walking paths, bird watching, lake views, seasonal blooms.",7:00 AM – 6:00 PM,1–2 hours,Approx. USD 3–5,March–May; morning,"Gregory Lake, Post Office, Galway’s Land, Pedro Tea Estate, Hakgala Gardens","Grand Hotel Nuwara Eliya, Araliya Green Hills, Jetwing St Andrew’s, Heritance Tea Factory, Blackpool Resort","Grand Indian Restaurant, Salmiya Restaurant, Coffee Bar, Lake View Pub, De Silva Food Centre", 
29,Galway's Land National Park,National Park,Central Province – Nuwara Eliya District,"6.9636° N, 80.7908° E","Galway’s Land National Park is a small protected area near Nuwara Eliya known for montane forests, endemic birds, and peaceful nature trails. It is one of Sri Lanka’s important highland bird habitats.","The area was declared a wildlife sanctuary in 1938 and upgraded to a national park in 2006. It was named after Sir Henry Monck-Mason Moore Galway, a former British Governor of Ceylon, and protects rare highland ecosystems.",Declared by Sri Lankan government,National park declared in 2006,Protects montane forest ecosystem and endemic bird species.,"Bird watching, forest trails, wildlife, native plants.",6:00 AM – 6:00 PM,1–2 hours,Approx. USD 5–10,March–May; morning,"Victoria Park, Gregory Lake, Hakgala Gardens, Moon Plains, Pedro Tea Estate","Grand Hotel Nuwara Eliya, Jetwing St Andrew’s, Araliya Green Hills, Blackpool Resort, Heritance Tea Factory","Grand Indian Restaurant, Salmiya Restaurant, Coffee Bar, Lake View Pub, De Silva Food Centre", 
30,Pedro Tea Estate,Tea Plantation,Central Province – Nuwara Eliya District,"6.9844° N, 80.7933° E","Pedro Tea Estate is a historic tea plantation near Nuwara Eliya where visitors can learn about traditional Ceylon tea production. The estate offers factory tours, tea tasting, and views of green tea fields.",Pedro Tea Estate was developed during the British colonial tea expansion of the 19th century after coffee plantations were replaced by tea cultivation. It represents the long-standing importance of tea production in Sri Lanka’s economy and culture.,Founded during British colonial tea expansion,19th century,Represents Sri Lanka’s world-famous Ceylon tea heritage.,"Tea factory tour, tea tasting, plantation walks, mountain views.",8:00 AM – 5:00 PM,1–2 hours,Approx. USD 5–10,January–April; morning,"Gregory Lake, Victoria Park, Moon Plains, Hakgala Gardens, Lover’s Leap Waterfall","Heritance Tea Factory, Grand Hotel Nuwara Eliya, Jetwing St Andrew’s, Araliya Green Hills, Blackpool Resort","Grand Indian Restaurant, Salmiya Restaurant, Coffee Bar, Lake View Pub, De Silva Food Centre", 
31,Anuradhapura Ancient City,Ancient City,North Central Province – Anuradhapura District,"8.3114° N, 80.4037° E","Anuradhapura is one of Sri Lanka’s oldest capitals and a UNESCO World Heritage Site, famous for massive stupas, monasteries, and ancient irrigation systems. It was the centre of Theravada Buddhism and Sri Lankan civilization for over a millennium.","Founded in the 4th century BC by King Pandukabhaya, Anuradhapura became the first major capital of Sri Lanka. It flourished for more than 1,300 years as a political, religious, and cultural centre before being abandoned after repeated invasions and the rise of Polonnaruwa as the capital.",Founded by King Pandukabhaya,4th century BC – 11th century AD (Anuradhapura Kingdom),First ancient capital of Sri Lanka and a major center of Theravada Buddhism.,"Ancient stupas, monasteries, reservoirs, royal ruins, sacred sites.",7:00 AM – 5:30 PM,5–6 hours,Approx. USD 25,May–September; early morning or late afternoon,"Ruwanwelisaya, Jaya Sri Maha Bodhi, Abhayagiri Monastery, Jetavanaramaya, Isurumuniya Temple","Heritage Hotel Anuradhapura, Rajarata Hotel, The Sanctuary at Tissawewa, Miridiya Lake Resort, Avasta Resort","Seedevi Family Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
32,Ruwanwelisaya,Stupa,North Central Province – Anuradhapura District,"8.3492° N, 80.3964° E","Ruwanwelisaya is one of Sri Lanka’s most sacred Buddhist stupas, located in the heart of Anuradhapura’s sacred city. Its large white dome and religious importance make it one of the country’s most visited pilgrimage sites.",The stupa was built by King Dutugemunu in the 2nd century BC after his victory and unification of Sri Lanka. It is believed to enshrine a large portion of the Buddha’s relics and remains one of the greatest achievements of ancient Sinhalese architecture.,King Dutugemunu,2nd century BC (c. 140 BC),One of the most sacred Buddhist stupas containing Buddha relics.,"White dome stupa, elephant wall, relic chamber, Buddhist rituals.",5:00 AM – 9:00 PM,1–2 hours,Free / Donation,Year-round; early morning or evening,"Jaya Sri Maha Bodhi, Thuparamaya, Abhayagiri, Jetavanaramaya, Isurumuniya","Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, The Sanctuary at Tissawewa","Seedevi Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
33,Jaya Sri Maha Bodhi,Religious Site,North Central Province – Anuradhapura District,"8.3430° N, 80.3964° E",Jaya Sri Maha Bodhi is the oldest historically documented tree in the world and a sacred Buddhist pilgrimage site. It is believed to have grown from a branch of the original Bodhi tree under which Buddha attained enlightenment.,"The sacred Bodhi tree sapling was brought to Sri Lanka in the 3rd century BC by Sanghamitta Theri, daughter of Emperor Ashoka of India, during the reign of King Devanampiya Tissa. It was planted in Anuradhapura and has been protected by generations of rulers and devotees.",Planted by Sanghamitta Theri from the original Bodhi tree in India,3rd century BC (288 BC tradition),Oldest historically documented planted tree in the world and a sacred Buddhist pilgrimage site.,"Sacred Bodhi tree, golden fence, shrine areas, religious ceremonies.",6:00 AM – 9:00 PM,1–2 hours,Free / Donation,Year-round; morning and evening worship times,"Ruwanwelisaya, Thuparamaya, Isurumuniya, Abhayagiri, Jetavanaramaya","Heritage Hotel, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, The Sanctuary at Tissawewa","Seedevi Restaurant, Casserole Restaurant, Milano Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
34,Thuparamaya,Stupa,North Central Province – Anuradhapura District,"8.3507° N, 80.3965° E",Thuparamaya is the first Buddhist stupa built in Sri Lanka and one of the most important religious monuments in Anuradhapura. It is believed to enshrine the Buddha’s collarbone relic.,Thuparamaya was constructed by King Devanampiya Tissa in the 3rd century BC after the introduction of Buddhism to Sri Lanka by Arahant Mahinda. The stupa has been renovated several times throughout history while preserving its religious importance.,King Devanampiya Tissa,3rd century BC,First Buddhist stupa built in Sri Lanka after Buddhism was introduced.,"Ancient stupa, vatadage structure, stone pillars, relic shrine.",7:00 AM – 6:00 PM,45 minutes–1 hour,Free / Donation,Year-round; morning,"Jaya Sri Maha Bodhi, Ruwanwelisaya, Abhayagiri, Jetavanaramaya, Isurumuniya","Heritage Hotel, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, Tissawewa Rest House","Seedevi Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
35,Abhayagiri Monastery,Monastery,North Central Province – Anuradhapura District,"8.3670° N, 80.3952° E","Abhayagiri Monastery was one of the largest ancient Buddhist monastic complexes in Sri Lanka, serving thousands of monks. It contains impressive ruins, sculptures, ponds, and the famous Abhayagiri Stupa.","The monastery was founded by King Valagamba in the 1st century BC after he regained his throne. It became an important international centre of Buddhist learning, attracting monks and scholars from India, China, and other regions for over a thousand years.",King Valagamba,1st century BC; expanded over centuries,One of ancient Sri Lanka’s largest Buddhist monastic universities.,"Abhayagiri Stupa, monastery ruins, moonstone, museums, sculptures.",7:00 AM – 5:30 PM,2–3 hours,Included in Anuradhapura ticket,May–September; morning,"Jetavanaramaya, Ruwanwelisaya, Jaya Sri Maha Bodhi, Thuparamaya, Samadhi Statue","Heritage Hotel, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, The Sanctuary at Tissawewa","Seedevi Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
36,Jetavanaramaya,Stupa,North Central Province – Anuradhapura District,"8.3505° N, 80.4037° E",Jetavanaramaya is one of the tallest ancient stupas in the world and a remarkable achievement of ancient Sri Lankan engineering. The monument dominates the Anuradhapura skyline with its massive brick structure.,"Built by King Mahasen in the 3rd century AD, Jetavanaramaya was part of the Jetavana monastery complex. At the time of construction, it was among the tallest man-made structures in the ancient world and represented the power and advancement of the Anuradhapura Kingdom.",King Mahasena,3rd century AD,One of the tallest ancient brick structures in the world and major Buddhist monument.,"Massive stupa, archaeological ruins, monastery remains, carvings.",7:00 AM – 6:00 PM,1–2 hours,Included in Anuradhapura ticket,May–September; morning/evening,"Abhayagiri, Ruwanwelisaya, Jaya Sri Maha Bodhi, Thuparamaya, Isurumuniya","Heritage Hotel, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, The Sanctuary at Tissawewa","Seedevi Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
37,Isurumuniya Temple,Temple,North Central Province – Anuradhapura District,"8.3376° N, 80.3906° E","Isurumuniya Temple is a beautiful rock temple in Anuradhapura famous for its ancient carvings, including the Isurumuniya Lovers sculpture. It is located near Tissa Wewa and combines natural beauty with Buddhist heritage.",The temple was built by King Devanampiya Tissa in the 3rd century BC as a monastery for newly ordained monks. It later became famous for its artistic stone carvings created during the Anuradhapura period.,King Devanampiya Tissa,3rd century BC,Ancient Buddhist temple famous for artistic stone carvings.,"Isurumuniya Lovers sculpture, rock temple, pond, museum, cave shrine.",8:00 AM – 6:00 PM,1 hour,Approx. USD 3,Year-round; morning or sunset,"Jaya Sri Maha Bodhi, Ruwanwelisaya, Thuparamaya, Kuttam Pokuna, Anuradhapura Museum","Heritage Hotel, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, Tissawewa Rest House","Seedevi Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
38,Mihintale,Religious Site,North Central Province – Anuradhapura District,"8.3500° N, 80.5117° E","Mihintale is a sacred mountain considered the birthplace of Buddhism in Sri Lanka. It contains ancient stairways, stupas, caves, and monasteries surrounded by peaceful landscapes.","According to tradition, Buddhism was introduced to Sri Lanka at Mihintale in 247 BC when Arahant Mahinda met King Devanampiya Tissa. The area later developed into a major monastic centre with many religious structures built by ancient kings.",King Devanampiya Tissa and Buddhist monk Mahinda Thera,3rd century BC,Birthplace of Buddhism in Sri Lanka and major pilgrimage site.,"Mihintale rock, Ambasthala Dagoba, Aradhana Gala, caves, monastery ruins.",6:00 AM – 6:00 PM,2–3 hours,Approx. USD 10,May–September; early morning,"Anuradhapura Ancient City, Kaludiya Pokuna, Ritigala, Aukana Buddha Statue, Nachchaduwa Lake","Heritage Hotel Anuradhapura, Rajarata Hotel, Avasta Resort, Miridiya Lake Resort, The Sanctuary at Tissawewa","Seedevi Restaurant, Casserole Restaurant, Milano Tourist Restaurant, Walkers Restaurant, The Lakeside Restaurant", 
